title,author,read,reviewed,stars
Where the Crawdads Sing,Delia Owens,"38,943","782,489",4.48
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"36,867","58,782",3.92
Normal People,Sally Rooney,"36,847","298,172",3.87
Little Fires Everywhere,Celeste Ng,"29,086","612,410",4.10
The Silent Patient,Alex Michaelides,"27,879","386,133",4.09
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"23,778","6,757,389",4.47
Educated,Tara Westover,"20,911","683,266",4.47
American Dirt,Jeanine Cummins,"19,085","91,191",4.31
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"18,664","2,617,070",4.42
Untamed,Glennon Doyle,"17,879","45,484",4.27
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"16,953","2,681,321",4.57
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"15,803","2,490,569",4.56
Such a Fun Age,Kiley Reid,"15,380","97,609",3.82
Becoming,Michelle Obama,"14,925","474,787",4.55
The Dutch House,Ann Patchett,"14,795","143,993",4.16
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"14,561","635,141",4.29
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"14,088","2,412,433",4.50
The Giver of Stars,Jojo Moyes,"13,503","122,741",4.30
Daisy Jones & The Six,Taylor Jenkins Reid,"12,901","220,046",4.21
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"12,762","2,347,649",4.57
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"12,252","6,188,723",4.33
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"12,072","2,709,277",4.62
Circe,Madeline Miller,"11,644","284,683",4.27
The Handmaid's Tale,Margaret Atwood,"11,447","1,386,921",4.11
When We Believed in Mermaids,Barbara O'Neal,"11,422","68,362",4.22
Big Summer,Jennifer Weiner,"11,180","14,538",3.75
"Red, White & Royal Blue",Casey McQuiston,"11,154","121,770",4.26
In Five Years,Rebecca Serle,"11,053","44,302",3.90
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"10,869","398,168",4.26
White Fragility: Why Itâ€™s So Hard for White People to Talk About Racism,Robin DiAngelo,"10,783","34,784",4.52
My Dark Vanessa,Kate Elizabeth Russell,"10,728","36,759",4.09
Camino Winds (Camino Island #2),John Grisham,"10,667","13,007",3.92
1984,George Orwell,"10,447","2,994,366",4.18
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"9,837","2,414,014",4.29
The Woman in the Window,A.J. Finn,"9,661","401,820",3.94
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"9,642","176,006",4.34
The Testaments,Margaret Atwood,"9,226","174,040",4.21
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"9,142","433,880",4.43
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"8,925","2,264,505",4.04
The Glass Hotel,Emily St. John Mandel,"8,763","23,697",3.81
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"8,610","1,907,009",4.25
The Flatshare,Beth O'Leary,"8,598","77,343",4.13
City of Girls,Elizabeth Gilbert,"8,464","121,728",4.05
Verity,Colleen Hoover,"8,365","122,406",4.34
The Guest List,Lucy Foley,"8,354","25,239",3.98
"Girl, Woman, Other",Bernardine Evaristo,"8,316","38,943",4.43
The Nightingale,Kristin Hannah,"8,238","646,218",4.58
