title,author,synopsis,cover_url,genre_common,weeks
THE VANISHING HALF,Brit Bennett,The lives of twin sisters who run away from a Southern black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,https://s1.nyt.com/du/books/images/9780525536291.jpg,Combined Print & E-Book Fiction,1
THE GUEST LIST,Lucy Foley,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,https://s1.nyt.com/du/books/images/9780062868930.jpg,Combined Print & E-Book Fiction,1
WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://s1.nyt.com/du/books/images/9780735219090.jpg,Combined Print & E-Book Fiction,91
THE LIES THAT BIND,Emily Giffin,"When the new man in her life disappears on 9/11, the budding reporter Cecily Gardner questions what she knew about him.",https://s1.nyt.com/du/books/images/9780399178955.jpg,Combined Print & E-Book Fiction,1
HIDEAWAY,Nora Roberts,"A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood.",https://s1.nyt.com/du/books/images/9781250207104.jpg,Combined Print & E-Book Fiction,2
WHITE FRAGILITY,Robin DiAngelo,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,https://s1.nyt.com/du/books/images/9780807047415.jpg,Combined Print & E-Book Nonfiction,11
SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,A look at the contemporary racial landscape of the United States.,https://s1.nyt.com/du/books/images/9781580056786.jpg,Combined Print & E-Book Nonfiction,3
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,A primer for creating a more just and equitable society through identifying and opposing racism.,https://s1.nyt.com/du/books/images/9780525509288.jpg,Combined Print & E-Book Nonfiction,6
ME AND WHITE SUPREMACY,Layla F. Saad,Ways to understand and possibly counteract white privilege.,https://s1.nyt.com/du/books/images/9781728209807.jpg,Combined Print & E-Book Nonfiction,3
THE NEW JIM CROW,Michelle Alexander,"A law professor takes aim at the “war on drugs,” mass incarceration and their impact on black men.",https://s1.nyt.com/du/books/images/9781595586438.jpg,Combined Print & E-Book Nonfiction,3
THE VANISHING HALF,Brit Bennett,The lives of twin sisters who run away from a Southern black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.,https://s1.nyt.com/du/books/images/9780525536291.jpg,Hardcover Fiction,1
WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://s1.nyt.com/du/books/images/9780735219090.jpg,Hardcover Fiction,92
THE GUEST LIST,Lucy Foley,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,https://s1.nyt.com/du/books/images/9780062868930.jpg,Hardcover Fiction,1
CAMINO WINDS,John Grisham,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.,https://s1.nyt.com/du/books/images/9780385545938.jpg,Hardcover Fiction,6
THE LIES THAT BIND,Emily Giffin,"When the new man in her life disappears on 9/11, the budding reporter Cecily Gardner questions what she knew about him.",https://s1.nyt.com/du/books/images/9780399178955.jpg,Hardcover Fiction,1
HOW TO BE AN ANTIRACIST,Ibram X. Kendi,A primer for creating a more just and equitable society through identifying and opposing racism.,https://s1.nyt.com/du/books/images/9780525509288.jpg,Hardcover Nonfiction,14
UNTAMED,Glennon Doyle,The activist and public speaker describes her journey of listening to her inner voice.,https://s1.nyt.com/du/books/images/9781984801258.jpg,Hardcover Nonfiction,13
BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,"Winner of the 2015 National Book Award for nonfiction. A meditation on race in America as well as a personal  story, framed as a letter to the author's teenage son.",https://s1.nyt.com/du/books/images/9780679645986.jpg,Hardcover Nonfiction,88
BECOMING,Michelle Obama,"The former first lady describes how she balanced work, family and her husband’s political ascent.",https://s1.nyt.com/du/books/images/9781524763138.jpg,Hardcover Nonfiction,78
THE SPLENDID AND THE VILE,Erik Larson,An examination of the leadership of the prime minister Winston Churchill.,https://s1.nyt.com/du/books/images/9780385348713.jpg,Hardcover Nonfiction,15
LITTLE FIRES EVERYWHERE,Celeste Ng,An artist with a mysterious past and a disregard for the status quo upends a quiet town outside Cleveland.,https://s1.nyt.com/du/books/images/9780735224308.jpg,Paperback Trade Fiction,57
NORMAL PEOPLE,Sally Rooney,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,https://s1.nyt.com/du/books/images/9781984822178.jpg,Paperback Trade Fiction,16
THEN SHE WAS GONE,Lisa Jewell,"Ten years after her daughter disappears, a woman tries to get her life in order but remains haunted by unanswered questions.",https://s1.nyt.com/du/books/images/9781501154669.jpg,Paperback Trade Fiction,47
THE WOMAN IN THE WINDOW,A.J. Finn,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,https://s1.nyt.com/du/books/images/9780062678416.jpg,Paperback Trade Fiction,59
CIRCE,Madeline Miller,"Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals.",https://s1.nyt.com/du/books/images/9780316556347.jpg,Paperback Trade Fiction,7
SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,A look at the contemporary racial landscape of the United States.,https://s1.nyt.com/du/books/images/9781580056786.jpg,Paperback Nonfiction,3
WHITE FRAGILITY,Robin DiAngelo,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,https://s1.nyt.com/du/books/images/9780807047415.jpg,Paperback Nonfiction,92
THE COLOR OF LAW,Richard Rothstein,A case for how the American government abetted racial segregation in metropolitan areas across the country.,https://s1.nyt.com/du/books/images/9781631494536.jpg,Paperback Nonfiction,6
THE NEW JIM CROW,Michelle Alexander,A law professor on the “war on drugs” and its role in the disproportionate incarceration of black men.,https://s1.nyt.com/du/books/images/9781595586438.jpg,Paperback Nonfiction,189
JUST MERCY,Bryan Stevenson,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,https://s1.nyt.com/du/books/images/9780812994520.jpg,Paperback Nonfiction,208
RELATIONSHIP GOALS,Michael Todd,null,https://s1.nyt.com/du/books/images/9780593192573.jpg,"Advice, How-To & Miscellaneous",6
"MAGNOLIA TABLE, VOL. 2",Joanna Gaines,null,https://s1.nyt.com/du/books/images/9780062820181.jpg,"Advice, How-To & Miscellaneous",9
"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,null,https://s1.nyt.com/du/books/images/9780062976581.jpg,"Advice, How-To & Miscellaneous",31
ACT LIKE A LADY,"Keltie Knight, Becca Tobin and Jac Vanek",null,https://s1.nyt.com/du/books/images/9780593136447.jpg,"Advice, How-To & Miscellaneous",1
ATOMIC HABITS,James Clear,null,https://s1.nyt.com/du/books/images/9780735211292.jpg,"Advice, How-To & Miscellaneous",30
THE ONE AND ONLY BOB,Katherine Applegate. Illustrated Patricia Castelao,"In this sequel to ""The One and Only Ivan,"" Bob sets out on a dangerous journey in search of his long-lost sister.",https://s1.nyt.com/du/books/images/9780062991317.jpg,Children’s Middle Grade Hardcover,5
LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY,Vashti Harrison with Kwesi Johnson,Biographies of trailblazing black men.,https://s1.nyt.com/du/books/images/9780316475143.jpg,Children’s Middle Grade Hardcover,11
LITTLE LEADERS,Vashti Harrison,The biographies of 40 African-American women who made a difference.,https://s1.nyt.com/du/books/images/9780316475112.jpg,Children’s Middle Grade Hardcover,33
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,Over 100 kid-tested recipes from America's Test Kitchen.,https://s1.nyt.com/du/books/images/9781492670025.jpg,Children’s Middle Grade Hardcover,60
WONDER,R.J. Palacio,A boy with a facial deformity starts school.,https://s1.nyt.com/du/books/images/9780375899881.jpg,Children’s Middle Grade Hardcover,251
THE WORLD NEEDS MORE PURPLE PEOPLE,Kristen Bell and Benjamin Hart. Illustrated Daniel Wiseman,Embracing the things that bring us together as humans.,https://s1.nyt.com/du/books/images/9780593121962.jpg,Children’s Picture Books,1
THE DAY YOU BEGIN,Jacqueline Woodson. Illustrated Rafael López,A group of school children embrace their differences.,https://s1.nyt.com/du/books/images/9780399246531.jpg,Children’s Picture Books,13
SULWE,Lupita Nyong'o. Illustrated Vashti Harrison,"After a magical journey with a shooting star, Sulwe discovers her inner beauty.",https://s1.nyt.com/du/books/images/9781534425361.jpg,Children’s Picture Books,9
HAIR LOVE,Matthew A. Cherry. Illustrated Vashti Harrison,A father and daughter work together on an extra-special hairstyle.,https://s1.nyt.com/du/books/images/9780525553366.jpg,Children’s Picture Books,9
I AM ENOUGH,Grace Byers. Illustrated Keturah A. Bobo,A poetic affirmation of self-esteem.,https://s1.nyt.com/du/books/images/9780062667120.jpg,Children’s Picture Books,8
THE HUNGER GAMES,Suzanne Collins,"In a dystopia, a girl fights for survival on live TV.",https://s1.nyt.com/du/books/images/9780545663267.jpg,Children’s Series,233
DOG MAN,Dav Pilkey,A dog’s head is combined with a policeman’s body to create this hybrid supercop hound.,https://s1.nyt.com/du/books/images/9780545935210.jpg,Children’s Series,145
HARRY POTTER,J.K. Rowling,A wizard hones his conjuring skills in the service of fighting evil.,https://s1.nyt.com/du/books/images/9780590353427.jpg,Children’s Series,585
ARTEMIS FOWL,Eoin Colfer,A criminal's magical adventures.,https://s1.nyt.com/du/books/images/9781423108368.jpg,Children’s Series,121
DRAGON MASTERS,Tracey West,"Drake, once skeptical of the existence of dragons, now trains his very own.",https://s1.nyt.com/du/books/images/9781338540253.jpg,Children’s Series,2
THE HATE U GIVE,Angie Thomas,A 16-year-old girl sees a police officer kill her friend.,https://s1.nyt.com/du/books/images/9780062498533.jpg,Young Adult Hardcover,171
STAMPED,Jason Reynolds and Ibram X. Kendi,An exploration of racism and anti-racism in America.,https://s1.nyt.com/du/books/images/9780316453691.jpg,Young Adult Hardcover,11
ONE OF US IS LYING,Karen M. McManus,"For five students, a detour into detention ends in murder.",https://s1.nyt.com/du/books/images/9781524714680.jpg,Young Adult Hardcover,124
CHAIN OF GOLD,Cassandra Clare,Cordelia battles demons in a quarantined London that are nothing like she’s encountered before.,https://s1.nyt.com/du/books/images/9781481431873.jpg,Young Adult Hardcover,14
STAR WARS: QUEEN'S PERIL,E.K. Johnston,Newly elected Queen Amidala prepares for a peaceful transition of power.,https://s1.nyt.com/du/books/images/9781368057141.jpg,Young Adult Hardcover,1
